Player,Player Short Name,Team,Position,Pts,Owner
Dilshan Madushanka,d madushanka,sl,bowl,0,UNDRAFTED
Pramod Madushan,p madushan,sl,bowl,0,UNDRAFTED
Eshan Malinga,e malinga,sl,bowl,0,MAHAARAJANMG
Nuwan Thushara,n thushara,sl,bowl,0,UNDRAFTED
Milan Rathnayake,m rathnayake,sl,bowl,0,UNDRAFTED
Sahan Arachchige,s arachchige,sl,alr,0,UNDRAFTED
Charith Asalanka,c asalanka,sl,bat,0,UNDRAFTED
Janith Liyanage,j liyanage,sl,bat,0,UNDRAFTED
Niroshan Dickwella,n dickwella,sl,wk,0,UNDRAFTED
Dhananjaya De Silva,d de silva,sl,alr,0,UNDRAFTED
Kusal Perera,k perera,sl,wk,0,NEELA
Hassnain Shah,h shah,oman,bowl,0,UNDRAFTED
Shafiq Jan,s jan,oman,bowl,0,UNDRAFTED
Craig Young,c young,ire,bowl,0,UNDRAFTED
Ben White,b white,ire,bowl,0,UNDRAFTED
Matthew Short,m short,aus,bat,0,UNDRAFTED
Josh Hazlewood,j hazlewood,aus,bowl,0,UNDRAFTED
Pat Cummins,p cummins,aus,bowl,0,UNDRAFTED
Mitchell Marsh,m marsh,aus,bat,0,DS&PS
Saqib Zulfiqar,s zulfiqar,neth,bat,0,UNDRAFTED
Noah Croes,n croes,neth,wk,0,UNDRAFTED
Jan Balt,j balt,nam,bat,0,UNDRAFTED
Jack Brassell,j brassell,nam,bowl,0,UNDRAFTED
Washington Sundar,w sundar,ind,alr,0,UNDRAFTED
Kuldeep Yadav,k yadav,ind,bowl,0,UNDRAFTED
Harshit Rana,h rana,ind,bowl,0,UNDRAFTED
Shai Hope,s hope,wi,wk,-1,MAHAARAJANMG
Muhammad Farooq,m farooq,uae,alr,-2,UNDRAFTED
Thomas Draca,t draca,ita,bowl,-2,UNDRAFTED
Timm Van Der Gugten,t van der gugten,neth,bowl,-5,UNDRAFTED
Dhruv Parashar,d parashar,uae,alr,-9,UNDRAFTED
Usman Khan,u khan,pak,bat,-11,UNDRAFTED
Safyaan Sharif,s sharif,scot,bowl,-12,UNDRAFTED
Muhammad Arfan,m arfan,uae,bowl,-16,UNDRAFTED
Abhishek Sharma,a sharma,ind,bat,-20,COLDTAKER
Tim David,t david,aus,bat,-21,SRIRAM
Max Heingo,m heingo,nam,bowl,-21,UNDRAFTED
Karan Sonavale,k sonavale,oman,bat,-25,UNDRAFTED
Muhammad Rohid,m rohid,uae,bowl,-33,UNDRAFTED
Jaskaran Singh,j singh,can,bowl,-34,UNDRAFTED
Lalit Rajbanshi,l rajbanshi,nep,bowl,-37,UNDRAFTED
